calculate the throughput for one broker with different p values from 1 to 15
brokers: ,5,    p: ,"{'p1': 1, 'p2': 4, 'p3': 2, 'p4': 3, 'p5': 1}",|   ,147452.8,messages/sec
brokers: ,5,    p: ,"{'p1': 4, 'p2': 5, 'p3': 2, 'p4': 1, 'p5': 2}",|   ,159781.6,messages/sec
brokers: ,5,    p: ,"{'p1': 3, 'p2': 5, 'p3': 5, 'p4': 1, 'p5': 2}",|   ,165652.8,messages/sec
brokers: ,5,    p: ,"{'p1': 3, 'p2': 4, 'p3': 5, 'p4': 2, 'p5': 5}",|   ,180435.3,messages/sec
brokers: ,5,    p: ,"{'p1': 1, 'p2': 1, 'p3': 4, 'p4': 2, 'p5': 4}",|   ,149990.4,messages/sec
brokers: ,5,    p: ,"{'p1': 2, 'p2': 2, 'p3': 5, 'p4': 1, 'p5': 4}",|   ,159781.6,messages/sec
brokers: ,5,    p: ,"{'p1': 5, 'p2': 2, 'p3': 4, 'p4': 5, 'p5': 3}",|   ,180435.3,messages/sec
brokers: ,5,    p: ,"{'p1': 3, 'p2': 5, 'p3': 3, 'p4': 3, 'p5': 1}",|   ,165568.8,messages/sec
brokers: ,5,    p: ,"{'p1': 1, 'p2': 2, 'p3': 4, 'p4': 3, 'p5': 2}",|   ,155535.2,messages/sec
brokers: ,5,    p: ,"{'p1': 4, 'p2': 5, 'p3': 1, 'p4': 1, 'p5': 1}",|   ,143616.8,messages/sec
brokers: ,5,    p: ,"{'p1': 1, 'p2': 4, 'p3': 4, 'p4': 4, 'p5': 3}",|   ,168935.2,messages/sec
brokers: ,5,    p: ,"{'p1': 1, 'p2': 1, 'p3': 5, 'p4': 5, 'p5': 3}",|   ,157570.4,messages/sec
brokers: ,5,    p: ,"{'p1': 1, 'p2': 4, 'p3': 1, 'p4': 4, 'p5': 2}",|   ,149990.4,messages/sec
brokers: ,6,    p: ,"{'p1': 5, 'p2': 6, 'p3': 2, 'p4': 5, 'p5': 4, 'p6': 3}",|   ,220624.2,messages/sec
